iter	Passed	Remaining
0	4	4931
1	8	4392
2	12	4097
3	16	4012
4	20	4115
5	23	3939
6	26	3823
7	29	3670
8	32	3557
9	34	3390
10	36	3240
11	37	3086
12	38	2960
13	40	2841
14	41	2730
15	42	2629
16	43	2539
17	45	2458
18	46	2386
19	47	2332
20	49	2294
21	50	2252
22	52	2210
23	53	2175
24	54	2134
25	56	2101
26	57	2075
27	58	2044
28	60	2012
29	61	1988
30	62	1963
31	64	1957
32	66	1943
33	67	1924
34	69	1906
35	70	1893
36	72	1879
37	73	1862
38	74	1845
39	76	1827
40	77	1811
41	79	1805
42	80	1800
43	82	1792
44	83	1777
45	84	1758
46	85	1738
47	86	1720
48	87	1703
49	88	1689
50	90	1679
51	91	1668
52	92	1658
53	94	1651
54	95	1644
55	97	1640
56	98	1631
57	100	1624
58	101	1614
59	102	1602
60	103	1594
61	104	1587
62	106	1580
63	107	1570
64	108	1562
65	109	1556
66	111	1548
67	112	1541
68	113	1532
69	114	1524
70	115	1516
71	117	1509
72	118	1502
73	119	1494
74	120	1486
75	121	1480
76	122	1473
77	124	1468
78	125	1461
79	126	1454
80	127	1448
81	128	1442
82	129	1432
83	130	1425
84	131	1420
85	132	1413
86	134	1408
87	135	1403
88	137	1404
89	138	1399
90	139	1394
91	140	1389
92	142	1387
93	143	1383
94	144	1380
95	146	1375
96	147	1371
97	148	1365
98	149	1359
99	150	1354
100	151	1348
101	152	1343
102	153	1339
103	155	1338
104	156	1336
105	158	1333
106	159	1330
107	160	1325
108	161	1321
109	162	1317
110	164	1314
111	165	1310
112	166	1305
113	167	1302
114	168	1298
115	170	1295
116	170	1290
117	172	1286
118	173	1282
119	174	1278
120	175	1274
121	176	1268
122	177	1265
123	178	1262
124	179	1258
125	180	1255
126	181	1250
127	183	1246
128	184	1244
129	185	1242
130	186	1238
131	187	1235
132	188	1231
133	190	1228
134	191	1225
135	192	1221
136	193	1219
137	194	1215
138	195	1213
139	197	1210
140	198	1207
141	199	1205
142	201	1206
143	202	1204
144	203	1202
145	205	1199
146	206	1196
147	207	1193
148	208	1190
149	209	1188
150	211	1186
151	212	1184
152	213	1181
153	214	1180
154	216	1178
155	217	1176
156	218	1174
157	219	1172
158	221	1169
159	222	1166
160	222	1162
161	224	1160
162	225	1157
163	226	1154
164	227	1152
165	228	1149
166	230	1147
167	231	1145
168	232	1143
169	233	1140
170	234	1139
171	236	1137
172	237	1134
173	238	1132
174	239	1130
175	240	1127
176	241	1125
177	243	1122
178	244	1120
179	245	1119
180	246	1117
181	248	1115
182	249	1113
183	250	1110
184	251	1107
185	252	1105
186	254	1104
187	255	1102
188	256	1099
189	257	1097
190	258	1095
191	259	1093
192	261	1092
193	262	1090
194	263	1088
195	264	1086
196	266	1084
197	267	1082
198	268	1081
199	269	1079
200	271	1077
201	272	1076
202	273	1073
203	274	1071
204	276	1071
205	277	1068
206	278	1066
207	279	1064
208	280	1062
209	281	1059
210	282	1057
211	284	1055
212	285	1054
213	286	1052
214	288	1052
215	289	1051
216	291	1051
217	292	1050
218	294	1049
219	295	1047
220	296	1045
221	297	1043
222	298	1041
223	300	1039
224	301	1038
225	302	1036
226	303	1033
227	304	1031
228	306	1030
229	307	1029
230	308	1027
231	310	1026
232	311	1024
233	312	1022
234	313	1020
235	314	1018
236	315	1016
237	316	1014
238	317	1012
239	318	1010
240	320	1008
241	321	1006
242	322	1004
243	323	1002
244	324	1000
245	326	999
246	327	999
247	329	999
248	330	998
249	332	996
250	333	994
251	334	992
252	335	989
253	336	988
254	337	987
255	339	987
256	340	985
257	342	985
258	343	984
259	345	982
260	346	981
261	347	979
262	349	978
263	350	976
264	351	975
265	352	973
266	354	972
267	355	971
268	356	969
269	358	968
270	359	967
271	360	965
272	361	963
273	362	961
274	364	960
275	365	958
276	366	957
277	367	955
278	369	953
279	370	952
280	371	950
281	372	949
282	374	947
283	375	945
284	376	944
285	377	942
286	378	940
287	379	939
288	381	939
289	383	938
290	384	937
291	385	935
292	387	934
293	388	932
294	389	931
295	390	929
296	392	928
297	393	926
298	394	923
299	395	921
300	396	920
301	397	918
302	398	916
303	399	915
304	400	913
305	401	911
306	402	909
307	403	907
308	404	905
309	405	903
310	406	901
311	407	899
312	408	897
313	409	895
314	410	893
315	412	892
316	413	890
317	414	888
318	415	886
319	416	884
320	417	882
321	418	880
322	418	878
323	419	876
324	421	875
325	422	873
326	423	871
327	424	870
328	425	867
329	426	866
330	427	864
331	428	863
332	430	861
333	431	859
334	432	857
335	433	855
336	434	854
337	435	852
338	436	850
339	437	848
340	438	846
341	439	844
342	440	842
343	441	841
344	442	839
345	443	838
346	444	836
347	445	834
348	446	832
349	447	830
350	448	828
351	449	826
352	450	825
353	451	823
354	452	821
355	453	819
356	454	818
357	455	816
358	456	814
359	457	813
360	458	811
361	459	810
362	460	808
363	461	806
364	462	805
365	463	803
366	464	801
367	466	800
368	467	798
369	468	797
370	469	795
371	470	793
372	471	792
373	472	790
374	473	789
375	474	787
376	475	786
377	477	785
378	478	783
379	479	782
380	480	780
381	481	779
382	482	777
383	483	776
384	484	774
385	485	772
386	486	771
387	487	769
388	488	767
389	490	766
390	490	764
391	491	763
392	493	761
393	494	759
394	495	758
395	496	756
396	497	754
397	498	753
398	499	752
399	500	750
400	501	749
401	502	747
402	503	746
403	504	744
404	505	743
405	506	741
406	507	739
407	512	743
408	513	741
409	514	739
410	515	738
411	516	736
412	517	735
413	518	733
414	520	733
415	521	731
416	522	730
417	523	728
418	524	726
419	525	725
420	526	723
421	527	722
422	528	720
423	529	719
424	530	717
425	531	715
426	532	714
427	533	713
428	534	711
429	535	710
430	536	708
431	538	707
432	539	706
433	540	704
434	541	703
435	542	702
436	543	700
437	544	698
438	545	697
439	546	695
440	547	694
441	549	693
442	550	691
443	551	690
444	552	689
445	553	687
446	554	685
447	555	684
448	556	682
449	557	681
450	558	679
451	559	678
452	560	676
453	561	675
454	562	674
455	563	672
456	564	671
457	565	669
458	567	668
459	568	666
460	569	665
461	570	663
462	571	662
463	572	661
464	573	659
465	574	658
466	575	656
467	576	655
468	577	653
469	578	652
470	579	651
471	580	649
472	581	648
473	582	646
474	583	645
475	584	643
476	585	642
477	586	640
478	587	639
479	588	637
480	589	636
481	590	634
482	591	633
483	592	632
484	593	630
485	594	629
486	595	627
487	596	626
488	597	624
489	598	623
490	599	621
491	600	620
492	601	618
493	602	617
494	603	615
495	604	614
496	605	612
497	606	611
498	607	609
499	608	608
500	609	607
501	610	605
502	611	604
503	612	603
504	613	601
505	614	600
506	615	598
507	616	597
508	617	595
509	618	594
510	619	593
511	620	591
512	621	590
513	623	589
514	624	587
515	625	586
516	626	585
517	627	584
518	628	582
519	629	581
520	630	580
521	631	578
522	632	577
523	633	575
524	634	574
525	635	573
526	636	571
527	638	570
528	639	569
529	640	567
530	641	566
531	642	565
532	643	563
533	644	562
534	645	561
535	646	559
536	647	558
537	649	557
538	650	556
539	651	555
540	653	554
541	654	552
542	655	551
543	656	550
544	657	548
545	658	547
546	659	546
547	660	544
548	661	543
549	662	541
550	663	540
551	664	539
552	665	537
553	666	536
554	667	535
555	668	533
556	669	532
557	670	531
558	671	529
559	672	528
560	673	527
561	674	525
562	675	524
563	676	523
564	677	521
565	678	520
566	679	519
567	680	517
568	681	516
569	682	515
570	683	513
571	685	512
572	686	511
573	687	510
574	688	508
575	689	507
576	690	506
577	691	504
578	692	503
579	693	502
580	694	500
581	695	499
582	696	498
583	697	496
584	699	495
585	700	494
586	701	493
587	702	492
588	703	490
589	704	489
590	705	488
591	706	486
592	707	485
593	708	484
594	709	482
595	710	481
596	711	480
597	712	479
598	713	477
599	715	476
600	716	475
601	717	474
602	718	472
603	719	471
604	720	470
605	721	469
606	722	467
607	723	466
608	724	465
609	725	463
610	726	462
611	727	461
612	728	459
613	729	458
614	731	457
615	732	456
616	733	455
617	734	453
618	735	452
619	736	451
620	737	450
621	738	448
622	739	447
623	740	446
624	741	444
625	742	443
626	743	442
627	744	441
628	745	439
629	746	438
630	747	437
631	748	435
632	749	434
633	750	433
634	751	432
635	752	430
636	753	429
637	755	428
638	756	427
639	757	426
640	758	424
641	759	423
642	760	422
643	761	421
644	762	419
645	763	418
646	764	417
647	765	415
648	766	414
649	767	413
650	768	412
651	769	410
652	770	409
653	771	408
654	772	406
655	773	405
656	774	404
657	776	403
658	777	402
659	778	400
660	779	399
661	780	398
662	781	397
663	782	395
664	783	394
665	784	393
666	785	392
667	786	390
668	787	389
669	788	388
670	789	386
671	790	385
672	791	384
673	792	383
674	793	382
675	794	380
676	795	379
677	796	378
678	797	376
679	798	375
680	799	374
681	800	373
682	801	372
683	802	370
684	803	369
685	804	368
686	805	367
687	807	366
688	808	364
689	809	363
690	810	362
691	811	361
692	812	360
693	813	358
694	814	357
695	815	356
696	816	355
697	817	353
698	818	352
699	819	351
700	820	350
701	822	348
702	823	347
703	824	346
704	825	345
705	826	343
706	827	342
707	828	341
708	829	340
709	830	339
710	831	337
711	831	336
712	833	335
713	834	334
714	835	332
715	836	331
716	838	330
717	839	329
718	841	328
719	842	327
720	843	326
721	844	325
722	845	323
723	846	322
724	847	321
725	848	320
726	849	318
727	850	317
728	852	316
729	853	315
730	854	314
731	855	313
732	856	311
733	857	310
734	858	309
735	859	308
736	860	307
737	861	305
738	862	304
739	863	303
740	864	302
741	865	300
742	866	299
743	867	298
744	868	297
745	869	296
746	870	294
747	871	293
748	872	292
749	873	291
750	874	290
751	875	288
752	876	287
753	877	286
754	878	285
755	879	284
756	881	282
757	882	281
758	883	280
759	884	279
760	885	278
761	886	276
762	887	275
763	888	274
764	889	273
765	890	271
766	891	270
767	892	269
768	893	268
769	894	267
770	895	266
771	896	264
772	897	263
773	899	262
774	900	261
775	901	260
776	902	259
777	903	257
778	904	256
779	905	255
780	906	254
781	907	253
782	908	251
783	909	250
784	911	249
785	912	248
786	913	247
787	914	245
788	915	244
789	916	243
790	917	242
791	918	241
792	919	240
793	920	238
794	921	237
795	922	236
796	923	235
797	924	234
798	925	232
799	927	231
800	928	230
801	929	229
802	930	228
803	931	227
804	932	225
805	933	224
806	934	223
807	935	222
808	936	221
809	937	219
810	938	218
811	939	217
812	940	216
813	942	215
814	943	214
815	944	212
816	945	211
817	946	210
818	947	209
819	948	208
820	949	206
821	950	205
822	951	204
823	952	203
824	953	202
825	954	201
826	955	199
827	956	198
828	957	197
829	958	196
830	959	195
831	960	193
832	961	192
833	962	191
834	963	190
835	964	189
836	965	188
837	966	186
838	967	185
839	968	184
840	970	183
841	971	182
842	972	181
843	973	179
844	974	178
845	975	177
846	976	176
847	977	175
848	978	174
849	979	172
850	980	171
851	981	170
852	982	169
853	983	168
854	984	166
855	985	165
856	987	164
857	988	163
858	989	162
859	990	161
860	991	160
861	992	158
862	993	157
863	994	156
864	995	155
865	996	154
866	997	153
867	998	151
868	999	150
869	1000	149
870	1002	148
871	1003	147
872	1004	146
873	1005	144
874	1006	143
875	1007	142
876	1008	141
877	1009	140
878	1010	139
879	1011	137
880	1012	136
881	1014	135
882	1015	134
883	1016	133
884	1017	132
885	1018	131
886	1019	129
887	1020	128
888	1021	127
889	1022	126
890	1023	125
891	1024	124
892	1025	122
893	1026	121
894	1027	120
895	1028	119
896	1029	118
897	1030	117
898	1032	115
899	1033	114
900	1034	113
901	1035	112
902	1036	111
903	1037	110
904	1038	109
905	1039	107
906	1040	106
907	1041	105
908	1042	104
909	1044	103
910	1045	102
911	1046	100
912	1047	99
913	1048	98
914	1049	97
915	1050	96
916	1051	95
917	1052	94
918	1053	92
919	1054	91
920	1055	90
921	1056	89
922	1057	88
923	1058	87
924	1059	85
925	1060	84
926	1061	83
927	1063	82
928	1064	81
929	1065	80
930	1066	79
931	1067	77
932	1068	76
933	1069	75
934	1070	74
935	1071	73
936	1072	72
937	1073	70
938	1074	69
939	1075	68
940	1076	67
941	1077	66
942	1078	65
943	1079	64
944	1080	62
945	1081	61
946	1082	60
947	1083	59
948	1084	58
949	1085	57
950	1086	56
951	1087	54
952	1088	53
953	1089	52
954	1090	51
955	1092	50
956	1093	49
957	1094	47
958	1095	46
959	1096	45
960	1097	44
961	1098	43
962	1099	42
963	1100	41
964	1101	39
965	1102	38
966	1103	37
967	1104	36
968	1105	35
969	1107	34
970	1108	33
971	1109	31
972	1110	30
973	1111	29
974	1112	28
975	1113	27
976	1114	26
977	1115	25
978	1116	23
979	1117	22
980	1118	21
981	1119	20
982	1120	19
983	1121	18
984	1122	17
985	1124	15
986	1125	14
987	1126	13
988	1127	12
989	1128	11
990	1129	10
991	1130	9
992	1131	7
993	1132	6
994	1133	5
995	1134	4
996	1135	3
997	1136	2
998	1137	1
999	1138	0
